Episode,Reward,Duration
176,-2250.00,6.05
177,-1150.00,6.37
178,-1600.00,6.04
179,-1550.00,2.98
180,-1900.00,5.60
181,-2150.00,7.85
182,-1050.00,5.31
183,-2100.00,7.97
184,-2000.00,1.15
185,-1950.00,16.26
186,-2200.00,6.17
187,-1800.00,5.35
188,-1650.00,8.46
189,-2900.00,7.81
190,-1600.00,6.35
191,-1800.00,8.52
192,-1500.00,18.96
193,-2300.00,15.37
194,-1350.00,14.39
195,-2200.00,5.94
196,-1750.00,7.70
197,-1750.00,1.49
198,-2150.00,0.85
199,-1900.00,6.19
200,-2000.00,0.09
201,-1700.00,5.94
202,-2000.00,5.71
203,-1300.00,5.53
204,-1600.00,5.20
205,-2000.00,3.34
206,-2100.00,5.37
207,-1950.00,5.18
208,-2250.00,0.11
209,-2150.00,6.89
210,-1350.00,5.45
211,-3900.00,6.06
212,-1450.00,6.35
213,-2050.00,5.40
214,-1600.00,5.34
215,-1700.00,5.21
216,-1450.00,6.22
217,-2000.00,5.22
218,-2150.00,5.59
219,-2050.00,5.38
220,-1750.00,4.95
221,-2100.00,6.61
222,-2250.00,5.30
223,-2100.00,5.29
224,-1950.00,9.58
225,-1600.00,5.50
226,-1700.00,8.03
227,-1150.00,5.43
228,-1600.00,5.59
229,-1900.00,14.85
230,-2750.00,6.79
231,-1750.00,15.14
232,-2000.00,6.10
233,-1550.00,5.14
234,-1950.00,5.39
235,-3950.00,0.10
236,-2200.00,10.91
237,-4200.00,1.48
238,-1200.00,4.95
239,-1650.00,11.73
240,-850.00,5.39
241,-2400.00,6.23
242,-1600.00,5.23
243,-6450.00,3.75
244,-2800.00,5.42
245,-3050.00,10.90
246,-1550.00,1.22
247,-3850.00,6.09
248,-3150.00,8.12
249,-3400.00,7.88
250,-1650.00,10.76
251,-1450.00,5.10
252,-550.00,6.74
253,-1200.00,5.74
254,-1950.00,6.54
255,-1300.00,10.20
256,-1500.00,5.38
257,-1350.00,7.48
258,-2300.00,5.66
259,-1800.00,20.42
260,-1950.00,5.37
261,-1450.00,5.19
262,-2200.00,4.96
263,-1700.00,10.10
264,-1100.00,0.07
265,-600.00,9.84
266,-1500.00,5.63
267,-1850.00,4.99
268,-1900.00,5.72
269,-1900.00,5.80
270,-1850.00,6.13
271,-2150.00,0.09
272,-3100.00,12.15
273,-2000.00,13.49
274,-1400.00,5.32
275,-2750.00,10.34
276,-1200.00,5.54
277,-2300.00,5.09
278,-2350.00,9.05
279,-2450.00,19.93
280,-1900.00,33.89
281,-2400.00,6.65
282,-1050.00,5.37
283,-2300.00,5.05
284,-2500.00,7.55
285,-2600.00,6.54
286,-1850.00,6.66
287,-1350.00,6.73
288,-1050.00,6.39
289,-3800.00,16.20
290,-1800.00,14.72
291,-1950.00,5.22
292,-2500.00,6.60
293,-2550.00,11.35
294,-2050.00,9.39
295,-1650.00,6.62
296,-1800.00,10.11
297,-1700.00,14.89
298,-3200.00,6.62
299,-2150.00,5.66
300,-2450.00,6.28
301,-2200.00,10.25
302,-2100.00,5.65
303,-1850.00,9.11
304,-1550.00,34.60
305,-1500.00,8.33
306,-2350.00,6.28
307,-2000.00,29.83
308,-1400.00,26.00
309,-2200.00,11.72
310,-2300.00,6.68
311,-2400.00,7.62
312,-2800.00,5.87
313,-950.00,22.19
314,-4950.00,10.11
315,-2450.00,6.39
316,-2250.00,7.48
317,-2700.00,5.89
318,-2350.00,19.95
319,-2000.00,14.17
320,-1850.00,17.66
321,-1400.00,15.32
322,-2200.00,6.93
323,-2500.00,6.47
324,-2450.00,10.35
325,-950.00,1.01
326,-2150.00,6.00
327,-2350.00,0.45
328,-1400.00,5.62
329,-3300.00,14.45
330,-1100.00,6.72
331,-2600.00,16.42
332,-900.00,13.18
333,-1800.00,7.59
334,-2750.00,5.27
335,-900.00,5.74
336,-2150.00,0.47
337,-2400.00,5.24
338,-1900.00,5.55
339,-2250.00,3.88
340,-1700.00,5.28
341,-2750.00,5.06
342,-1400.00,5.73
343,-1900.00,5.10
344,-2250.00,8.95
345,-2050.00,13.05
346,-1150.00,12.07
347,-2050.00,19.65
348,-1600.00,5.57
349,-500.00,6.86
350,-750.00,5.10
351,-1150.00,6.65
352,-1500.00,6.04
353,-800.00,5.63
354,-2250.00,5.90
355,-700.00,6.16
356,-1650.00,1.94
357,-700.00,5.34
358,-800.00,0.07
359,-950.00,0.74
360,-1300.00,0.18
361,-550.00,1.57
362,-800.00,14.96
363,-1450.00,0.95
364,-450.00,5.11
365,-2050.00,0.70
366,-1800.00,1.30
367,-1050.00,6.56
368,-600.00,5.55
369,-1950.00,7.51
370,-1000.00,0.25
371,-1150.00,5.70
372,-1200.00,8.22
373,-1450.00,6.74
374,-1800.00,5.08
375,-1100.00,11.49
376,-2150.00,10.07
377,-1550.00,0.60
378,-1450.00,5.12
379,-2250.00,10.86
380,-2150.00,4.47
381,-1850.00,4.77
382,-1550.00,8.21
383,-2150.00,5.40
384,-1400.00,8.26
385,-2150.00,17.75
386,-2300.00,12.99
387,-1800.00,0.10
388,-1400.00,5.21
389,-1300.00,5.34
390,-2500.00,8.49
391,-2000.00,7.78
392,-2300.00,14.98
393,-2650.00,5.33
394,-850.00,13.33
395,-950.00,2.02
396,-1550.00,5.36
397,-1150.00,1.59
398,-1950.00,3.72
399,-2400.00,1.18
400,-2700.00,6.19
401,-1550.00,0.46
402,-1000.00,8.67
403,-1200.00,5.31
404,-1650.00,1.61
405,-650.00,2.51
406,-1200.00,5.50
407,-1800.00,6.02
408,-1600.00,5.30
409,-1600.00,5.55
410,-1600.00,5.86
411,-1450.00,6.86
412,-1550.00,11.25
413,-2000.00,0.93
414,-1600.00,0.85
415,-3450.00,35.70
416,-1500.00,7.81
417,-850.00,6.55
418,-1000.00,18.90
419,-3000.00,0.59
420,-3200.00,0.69
421,-1500.00,30.84
422,-1550.00,2.15
423,-1100.00,4.92
424,-2000.00,9.16
425,-1100.00,4.91
426,-900.00,5.02
427,-1400.00,4.89
428,-1650.00,5.95
429,-650.00,0.58
430,-2150.00,5.02
431,-850.00,5.18
432,-1350.00,5.01
433,-300.00,4.94
434,-1750.00,0.48
435,-950.00,5.00
436,-550.00,10.36
437,-1900.00,1.56
438,-2150.00,6.00
439,-1850.00,6.43
440,-1100.00,5.36
441,-1350.00,1.06
442,-1900.00,0.12
443,-950.00,5.25
444,-1200.00,5.55
445,-350.00,14.96
446,-2100.00,9.09
447,-1250.00,10.10
448,-1050.00,20.78
449,-1550.00,5.68
450,-250.00,1.18
451,-1050.00,1.02
452,-1250.00,0.14
453,-1000.00,0.22
454,-650.00,1.31
455,-700.00,0.68
456,-1000.00,0.22
457,-1100.00,1.93
458,-750.00,2.30
459,-1250.00,5.80
460,-2400.00,6.16
461,-900.00,1.95
462,-2150.00,1.20
463,-1250.00,5.77
464,-2250.00,12.09
465,-900.00,5.48
466,-1850.00,0.36
467,-1550.00,5.20
468,-800.00,10.32
469,-600.00,5.99
470,-400.00,1.59
471,-600.00,5.04
472,-950.00,6.08
473,-800.00,15.69
474,-1550.00,5.39
475,-1150.00,2.32
476,-1400.00,0.08
477,-600.00,5.18
478,-300.00,1.19
479,-600.00,5.02
480,-600.00,6.45
481,-1250.00,1.65
482,-650.00,6.46
483,-700.00,5.43
484,-900.00,2.35
485,-800.00,5.89
486,-600.00,5.25
487,-350.00,5.38
488,-450.00,5.41
489,-550.00,5.18
490,-900.00,5.48
491,-1000.00,46.76
492,-400.00,5.08
493,-500.00,5.61
494,-500.00,4.96
495,-1000.00,6.60
496,-900.00,1.55
497,-300.00,5.29
498,-550.00,4.93
499,-1350.00,4.72
500,-750.00,5.13
501,-450.00,0.61
502,-550.00,4.97
503,-250.00,5.05
504,-900.00,5.07
505,-1900.00,0.48
506,-1450.00,4.94
507,-1100.00,4.94
508,-1400.00,5.10
509,-850.00,5.09
510,-500.00,5.40
511,-550.00,1.61
512,-500.00,5.26
513,-1100.00,1.96
514,-1150.00,5.05
515,-600.00,5.00
516,-600.00,5.19
517,-700.00,7.00
518,-900.00,6.28
519,-850.00,6.07
520,-700.00,5.43
521,-550.00,5.68
522,-950.00,5.01
523,-1000.00,5.38
524,-1150.00,4.97
525,-800.00,11.11
526,-550.00,5.26
527,-1000.00,0.08
528,-650.00,5.13
529,-1050.00,0.35
530,-650.00,0.06
531,-1000.00,1.96
532,-500.00,0.06
533,-1300.00,15.18
534,-700.00,6.06
535,-600.00,5.12
536,-750.00,10.59
537,-950.00,0.07
538,-850.00,2.34
539,-750.00,5.55
540,-800.00,0.08
541,-1000.00,5.32
542,-850.00,5.63
543,-750.00,1.57
544,-650.00,1.57
545,-700.00,1.95
546,-250.00,5.80
547,-600.00,4.92
548,-650.00,2.92
549,-200.00,0.07
550,-550.00,5.11
551,-600.00,0.25
552,-650.00,1.57
553,-550.00,5.36
554,-750.00,0.26
555,-1300.00,1.26
556,-850.00,0.71
557,-450.00,1.57
558,-250.00,5.15
559,-400.00,0.32
560,-400.00,0.19
561,-450.00,5.11
562,-450.00,5.02
563,-450.00,5.68
564,-750.00,5.06
565,-400.00,0.62
566,-700.00,9.95
567,-450.00,1.47
568,-100.00,4.94
569,-1200.00,9.53
570,-400.00,0.07
571,-300.00,4.97
572,-300.00,5.04
573,-550.00,1.19
574,-1050.00,5.84
575,-1450.00,14.83
576,-1050.00,7.00
577,-1000.00,7.20
578,-3100.00,4.86
579,-1750.00,9.56
580,-550.00,5.35
581,-1650.00,10.51
582,-1350.00,9.46
583,-1450.00,13.58
584,-950.00,9.03
585,-700.00,5.60
586,-2000.00,4.88
587,-2150.00,10.45
588,-1650.00,8.13
589,-1000.00,8.33
590,-1950.00,6.22
591,-1800.00,5.48
592,-750.00,10.38
593,-2650.00,7.52
594,-1950.00,15.38
595,-2200.00,4.78
596,-2450.00,8.05
597,-600.00,4.94
598,-1100.00,1.91
599,-450.00,4.88
600,-950.00,5.82
601,-550.00,4.91
602,-900.00,5.06
603,-300.00,5.36
604,-1700.00,1.26
605,-400.00,4.93
606,-1250.00,1.20
607,-700.00,0.08
608,-450.00,6.52
609,-300.00,6.51
610,-1150.00,0.07
611,-900.00,9.87
612,-900.00,10.35
613,-700.00,5.88
614,-1950.00,11.41
615,-3100.00,10.10
616,-1400.00,5.13
617,-1200.00,5.14
618,-1400.00,39.72
619,-650.00,6.57
620,-1000.00,5.38
621,-1400.00,9.96
622,-1350.00,6.15
623,-950.00,6.79
624,-900.00,6.87
625,-850.00,4.85
626,-2100.00,9.65
627,-500.00,11.06
628,-500.00,5.23
629,-750.00,4.86
630,-750.00,9.73
631,-1200.00,1.15
632,-850.00,4.76
633,-500.00,9.65
634,-350.00,6.57
635,-500.00,4.99
636,-1250.00,4.85
637,-600.00,4.86
638,-500.00,6.39
639,-400.00,10.19
640,-850.00,5.04
641,-550.00,6.05
642,-1500.00,5.15
643,-750.00,2.28
644,-1400.00,6.11
645,-850.00,1.95
646,-750.00,1.56
647,-1250.00,1.62
648,-750.00,0.30
649,-900.00,0.82
650,-500.00,1.45
651,-1150.00,4.83
652,-600.00,0.07
653,-700.00,0.07
654,-650.00,9.80
655,-1000.00,10.07
656,-650.00,4.86
657,-750.00,10.18
658,-300.00,4.92
659,-350.00,6.20
660,-650.00,1.56
661,-650.00,6.73
662,-850.00,5.04
663,-300.00,9.77
664,-450.00,4.98
665,-200.00,4.89
666,-950.00,5.01
667,-550.00,4.93
668,-450.00,5.00
669,-700.00,1.93
670,-1000.00,1.45
671,-500.00,1.97
672,-300.00,5.09
673,-500.00,5.88
674,-750.00,1.55
675,-700.00,0.07
676,-650.00,5.27
677,-700.00,0.82
678,-800.00,1.92
679,-600.00,6.31
680,-600.00,1.19
681,-350.00,5.91
682,-450.00,4.89
683,-700.00,0.06
684,-850.00,1.59
685,-500.00,4.86
686,-700.00,1.91
687,-700.00,10.94
688,-400.00,4.94
689,-350.00,5.05
690,-200.00,5.34
691,-800.00,4.88
692,-800.00,4.90
693,-750.00,4.73
694,-650.00,5.48
695,-700.00,4.78
696,-600.00,0.20
697,-500.00,5.08
698,-800.00,1.92
699,-1000.00,1.19
700,-750.00,5.38
701,-900.00,1.93
702,-350.00,9.78
703,-600.00,5.08
704,-950.00,4.85
705,-500.00,4.91
706,-600.00,0.07
707,-700.00,4.77
708,-800.00,4.88
709,-650.00,4.73
710,-750.00,9.73
711,-850.00,0.07
712,-450.00,5.99
713,-800.00,4.96
714,-450.00,4.92
715,-850.00,1.58
716,-650.00,10.04
717,-500.00,10.77
718,-800.00,6.54
719,-950.00,4.91
720,-650.00,1.53
721,-500.00,0.52
722,-550.00,0.19
723,-250.00,5.08
724,-600.00,1.57
725,-550.00,5.08
726,-600.00,5.09
727,-550.00,5.88
728,-1000.00,5.11
729,-1350.00,4.92
730,-900.00,4.97
731,-650.00,1.57
732,-700.00,0.74
733,-850.00,5.22
734,-300.00,4.84
735,-450.00,0.27
736,-400.00,6.06
737,-650.00,1.55
738,-900.00,1.97
739,-850.00,4.89
740,-700.00,1.18
741,-750.00,0.97
742,-550.00,5.93
743,-900.00,4.78
744,-900.00,0.08
745,-600.00,4.80
746,-700.00,4.83
747,-900.00,1.96
748,-850.00,6.61
749,-350.00,10.13
750,-450.00,5.96
751,-700.00,5.11
752,-950.00,1.59
753,-750.00,0.07
754,-600.00,5.58
755,-550.00,1.45
756,-700.00,6.53
757,-850.00,15.48
758,-750.00,5.17
759,-500.00,6.67
760,-400.00,5.61
761,-550.00,1.24
762,-950.00,6.43
763,-750.00,1.44
764,-650.00,5.01
765,-500.00,0.07
766,-700.00,5.70
767,-500.00,0.08
768,-450.00,5.09
769,-500.00,5.02
770,-300.00,4.85
771,-700.00,5.00
772,-350.00,5.04
773,-300.00,4.85
774,-600.00,4.90
775,-500.00,8.22
776,-450.00,5.94
777,-650.00,4.96
778,-900.00,4.87
779,-650.00,4.87
780,-550.00,11.38
781,-450.00,6.96
782,-450.00,4.95
783,-550.00,10.25
784,-650.00,5.39
785,-350.00,5.46
786,-200.00,10.84
787,-350.00,5.40
788,-350.00,5.45
789,-550.00,0.08
790,-500.00,0.09
791,-450.00,0.70
792,-350.00,5.32
793,-450.00,0.07
794,-750.00,0.09
795,-600.00,0.09
796,-450.00,0.09
797,-400.00,0.08
798,-1100.00,2.11
799,-950.00,5.17
800,-500.00,0.09
801,-550.00,1.34
802,-600.00,5.52
803,-300.00,5.64
804,-350.00,5.30
805,-300.00,5.29
806,-250.00,7.34
807,-700.00,5.35
808,-750.00,0.46
809,-900.00,5.32
810,-400.00,2.00
811,-850.00,6.11
812,-450.00,1.91
813,-550.00,6.02
814,-600.00,4.80
815,-400.00,5.01
816,-500.00,6.12
817,-650.00,4.99
818,-400.00,0.07
819,-1300.00,1.94
820,-700.00,4.86
821,-400.00,0.07
822,-650.00,0.15
823,-550.00,0.08
824,-650.00,1.21
825,-300.00,5.00
826,-600.00,6.03
827,-550.00,6.40
828,-850.00,0.06
829,-900.00,1.20
830,-250.00,5.46
831,-600.00,0.07
832,-550.00,0.21
833,-850.00,5.08
834,-650.00,4.91
835,-700.00,4.96
836,-350.00,8.23
837,-200.00,4.87
838,-650.00,1.23
839,-450.00,0.51
840,-550.00,5.08
841,-600.00,5.17
842,-500.00,4.99
843,-650.00,0.08
844,-500.00,5.06
845,-500.00,5.04
846,-500.00,0.08
847,-700.00,0.07
848,-550.00,4.96
849,-400.00,4.90
850,-500.00,5.20
851,-400.00,0.31
852,-550.00,5.00
853,-500.00,5.29
854,-550.00,0.07
855,-600.00,0.07
856,-650.00,0.07
857,-400.00,0.06
858,-1050.00,0.10
859,-650.00,0.08
860,-600.00,4.83
861,-500.00,4.89
862,-200.00,4.91
863,-600.00,6.81
864,-550.00,4.96
865,-800.00,0.09
866,-600.00,4.88
867,-350.00,5.03
868,-300.00,0.07
869,-650.00,0.06
870,-300.00,5.10
871,-300.00,4.82
872,-450.00,2.81
873,-450.00,6.70
874,-400.00,4.97
875,-700.00,0.08
876,-400.00,4.85
877,-500.00,0.07
878,-700.00,8.27
879,-1150.00,5.12
880,-200.00,0.09
881,-300.00,5.00
882,-350.00,0.07
883,-700.00,0.08
884,-800.00,0.17
885,-600.00,5.21
886,-600.00,0.07
887,-450.00,0.43
888,-250.00,5.00
889,-500.00,5.15
890,-600.00,4.94
891,-500.00,5.03
892,-300.00,0.07
893,-250.00,5.03
894,-500.00,5.96
895,-800.00,6.34
896,-300.00,4.87
897,-400.00,5.22
898,-400.00,0.08
899,-400.00,4.92
900,-600.00,0.73
901,-200.00,4.92
902,-500.00,1.73
903,-1500.00,0.07
904,-550.00,0.06
905,-600.00,6.01
906,-600.00,5.62
907,-1000.00,1.99
908,-600.00,0.07
909,-400.00,0.07
910,-950.00,4.94
911,-300.00,4.95
912,-850.00,5.55
913,-700.00,0.07
914,-400.00,4.81
915,-400.00,5.03
916,-900.00,1.93
917,-800.00,5.78
918,-700.00,2.00
919,-600.00,0.08
920,-1050.00,5.28
921,-600.00,0.54
922,-400.00,6.71
923,-700.00,4.96
924,-700.00,0.08
925,-300.00,0.08
926,-500.00,4.96
927,-300.00,4.88
928,-500.00,5.02
929,-800.00,0.06
930,-550.00,0.87
931,-500.00,0.07
932,-650.00,1.56
933,-350.00,6.45
934,-350.00,6.19
935,-900.00,0.51
936,-400.00,5.00
937,-300.00,0.07
938,-900.00,4.81
939,-650.00,0.08
940,-400.00,0.07
941,-150.00,5.10
942,-450.00,0.06
943,-1200.00,0.08
944,-450.00,0.06
945,-350.00,5.01
946,-200.00,0.08
947,-200.00,0.06
948,-400.00,1.60
949,-150.00,5.13
950,-600.00,0.06
951,-450.00,1.14
952,-300.00,0.06
953,-450.00,4.80
954,-100.00,0.06
955,-500.00,1.14
956,-600.00,4.77
957,-400.00,4.85
958,-300.00,5.15
959,-700.00,0.51
960,-800.00,0.08
961,-1150.00,0.98
962,-650.00,5.78
963,-800.00,1.18
964,-800.00,0.07
965,-1350.00,0.08
966,-700.00,0.07
967,-550.00,4.90
968,-400.00,0.07
969,-300.00,0.58
970,-1000.00,0.20
971,-400.00,4.93
972,-1100.00,0.08
973,-500.00,0.07
974,-600.00,0.09
975,-400.00,5.05
976,-250.00,5.60
977,-600.00,4.85
978,-400.00,4.94
979,-300.00,5.04
980,-500.00,0.50
981,-250.00,5.21
982,-300.00,0.30
983,-400.00,0.07
984,-400.00,0.06
985,-400.00,0.06
986,-350.00,0.06
987,-650.00,0.50
988,-450.00,0.17
989,-350.00,0.14
990,-400.00,0.20
991,-500.00,0.18
992,-350.00,0.07
993,-300.00,0.08
994,-350.00,0.06
995,-200.00,0.52
996,-200.00,0.52
997,-200.00,0.19
998,-400.00,0.07
999,-500.00,0.07
1000,-300.00,0.06
